name_length,is_organic,is_sugar_free,quantity_value,quantity_unit_encoded,category_depth,country_count,product_age_days,created_year,created_month,main_category_encoded,nova_group
2,0,0,33.0,7,7,1,3671,2015,8,53,3.28450954283178
1,0,0,100.0,14,1,2,3326,2016,9,459,3.0
2,0,0,2.0,29,6,1,2590,2018,9,53,1.0
3,0,0,1.0,29,7,1,4068,2014,9,53,1.0
1,0,0,33.0,7,6,1,2365,2019,3,68,3.28450954283178
1,0,0,450.0,42,5,1,1065,2022,11,159,3.0
3,0,0,1500.0,42,7,12,4800,2012,7,53,1.0
3,0,0,1.0,27,11,1,1507,2021,6,159,3.0
3,0,0,1.0,29,7,4,3009,2017,7,159,1.0
1,0,0,160.0,14,8,2,1823,2020,10,204,4.0
2,0,0,1.5,29,6,1,2825,2017,10,67,1.0
3,0,0,33.0,7,5,1,1406,2021,7,52,3.28450954283178
1,0,0,50.0,7,1,1,3416,2016,3,177,3.28450954283178
3,0,0,250.0,14,5,8,4099,2014,8,159,4.0
1,0,0,80.0,14,11,1,2779,2018,3,418,1.0
2,0,0,470.0,42,4,1,1060,2022,10,159,1.0
1,0,0,200.0,14,14,2,1564,2021,4,400,3.28450954283178
1,0,0,1.0,29,2,1,2385,2019,3,175,1.0
3,0,0,300.0,14,6,15,3674,2015,10,459,4.0
3,0,0,100.0,14,6,24,4775,2012,9,459,3.0
4,0,0,1.0,29,8,1,3068,2017,4,67,3.28450954283178
1,0,0,1.0,27,7,17,2640,2018,7,394,4.0
2,0,0,1.0,29,6,1,2618,2018,6,119,4.0
1,0,0,22.0,14,18,1,393,2024,8,400,2.0
2,0,0,80.0,14,1,1,354,2024,11,38,4.0
5,0,0,0.33,29,5,2,2690,2018,4,68,3.28450954283178
1,0,0,230.0,14,5,4,4594,2013,2,459,4.0
3,0,0,430.0,14,12,1,3602,2015,9,18,3.0
2,0,0,5.0,29,4,1,2445,2018,5,67,3.28450954283178
2,0,0,110.0,14,8,2,2903,2017,11,418,3.0
2,0,0,1.5,29,5,1,2788,2018,3,68,3.28450954283178
3,0,0,280.0,42,5,1,2804,2018,2,134,4.0
4,0,0,580.0,14,6,3,1490,2021,9,400,3.0
2,0,0,0.5,29,7,14,4878,2012,6,53,4.0
1,0,0,5.0,29,6,1,3517,2015,12,68,1.0
5,0,0,125.0,14,5,13,2357,2019,4,459,4.0
5,0,0,500.0,42,5,10,4908,2012,5,68,1.0
1,0,0,400.0,14,5,16,3483,2016,3,394,4.0
2,0,0,450.0,14,4,1,1481,2021,9,400,3.0
4,0,0,580.0,14,7,1,1460,2021,9,400,3.0
1,0,0,24.0,14,9,2,1488,2021,2,159,4.0
1,0,0,30.0,14,5,14,3174,2017,2,400,1.0
4,0,0,400.0,14,5,1,2194,2019,10,134,2.0
4,0,0,310.0,44,5,1,2982,2017,7,199,3.28450954283178
