product_name,brands,categories,ingredients,labels,nutriscore,text,cluster
Sidi Ali,Sidi Ali,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",,,,"Sidi Ali Sidi Ali Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters   ",9
perly,perly,Snacks,,,,perly perly Snacks   ,9
Sidi Ali,sidi ali,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",,,,"Sidi Ali sidi ali Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters   ",9
Eau minérale naturelle,"Les Eaux Minérales d'oulmès,Sidi Ali","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",,,,"Eau minérale naturelle Les Eaux Minérales d'oulmès,Sidi Ali Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters   ",9
اكوافينا,AQUAFINA,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux de table",,,,"اكوافينا AQUAFINA Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux de table   ",8
Lait,Jaouda,"Dairies,Meals,Milks (liquid and powder),Milks,Semi-skimmed milks",,,,"Lait Jaouda Dairies,Meals,Milks (liquid and powder),Milks,Semi-skimmed milks   ",9
Eau De Source,Cristaline,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",,,,"Eau De Source Cristaline Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters   ",9
Fromage blanc nature,MILKY FOOD PROFESSIONAL,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,fr:Fromages blancs,fr:Fromages blancs natures",,,,"Fromage blanc nature MILKY FOOD PROFESSIONAL Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,fr:Fromages blancs,fr:Fromages blancs natures   ",2
uht jaouda 1L,Jaouda,"Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT",,,,"uht jaouda 1L Jaouda Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT   ",9
Jben,Jaouda,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse",,,,"Jben Jaouda en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse   ",2
Ain Saïss,Danone,"Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté",,,,"Ain Saïss Danone Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté   ",8
Eau minéral naturelle,Ain atlas,"Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",,,,"Eau minéral naturelle Ain atlas Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters   ",9
6111035000027,Sidi Ali,Eaux minérales naturelles,,,,6111035000027 Sidi Ali Eaux minérales naturelles   ,9
Marmite Yeast Extract,"Marmite,Unilever","Dairies, Fermented foods, Fermented milk products, Buttermilks, en:yeast-extract-spreads",,,,"Marmite Yeast Extract Marmite,Unilever Dairies, Fermented foods, Fermented milk products, Buttermilks, en:yeast-extract-spreads   ",9
,Jaouda,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures",,,," Jaouda Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures   ",3
Lait Frais,centrale danone,"Dairies, Milks, Fresh milks, en:semi-skimmed-milks",,,,"Lait Frais centrale danone Dairies, Milks, Fresh milks, en:semi-skimmed-milks   ",9
,lilia,"Plant-based foods and beverages,Dairies,Plant-based foods,Fats,Spreads,Plant-based spreads,Salted spreads,Vegetable fats,Spreadable fats,Animal fats,Dairy spreads,Margarines,Milkfat,Butters",,,," lilia Plant-based foods and beverages,Dairies,Plant-based foods,Fats,Spreads,Plant-based spreads,Salted spreads,Vegetable fats,Spreadable fats,Animal fats,Dairy spreads,Margarines,Milkfat,Butters   ",5
